Date,Team 1,FT,HT,Team 2
Tue Jun 16 2020,Aalesund,1-4,?,Molde
Tue Jun 16 2020,Odd,1-2,?,Sandefjord
Tue Jun 16 2020,Rosenborg,0-0,?,Kristiansund
Tue Jun 16 2020,Stabaek,0-0,?,Mjondalen
Tue Jun 16 2020,Viking,2-4,?,Bodo/Glimt
Tue Jun 16 2020,Sarpsborg 08,0-1,?,Valerenga
Wed Jun 17 2020,Start,2-2,?,Stromsgodset
Wed Jun 17 2020,Haugesund,1-2,?,Brann
Sat Jun 20 2020,Mjondalen,1-0,?,Sarpsborg 08
Sat Jun 20 2020,Molde,1-0,?,Rosenborg
Sun Jun 21 2020,Bodo/Glimt,6-1,?,Haugesund
Sun Jun 21 2020,Kristiansund,7-2,?,Aalesund
Sun Jun 21 2020,Sandefjord,2-2,?,Start
Sun Jun 21 2020,Stromsgodset,1-0,?,Odd
Sun Jun 21 2020,Valerenga,2-2,?,Stabaek
Sun Jun 21 2020,Brann,3-0,?,Viking
Wed Jun 24 2020,Aalesund,2-2,?,Brann
Wed Jun 24 2020,Haugesund,2-2,?,Kristiansund
Wed Jun 24 2020,Stabaek,2-0,?,Sandefjord
Wed Jun 24 2020,Start,2-3,?,Molde
Wed Jun 24 2020,Viking,1-1,?,Mjondalen
Wed Jun 24 2020,Odd,4-1,?,Valerenga
Thu Jun 25 2020,Sarpsborg 08,2-3,?,Stromsgodset
Thu Jun 25 2020,Rosenborg,2-3,?,Bodo/Glimt
Sat Jun 27 2020,Start,0-5,?,Odd
Sat Jun 27 2020,Valerenga,2-1,?,Viking
Sun Jun 28 2020,Bodo/Glimt,2-1,?,Sarpsborg 08
Sun Jun 28 2020,Mjondalen,1-2,?,Kristiansund
Sun Jun 28 2020,Molde,4-1,?,Stabaek
Sun Jun 28 2020,Sandefjord,0-1,?,Haugesund
Sun Jun 28 2020,Stromsgodset,1-1,?,Aalesund
Sun Jun 28 2020,Brann,1-2,?,Rosenborg
Wed Jul 1 2020,Aalesund,1-3,?,Mjondalen
Wed Jul 1 2020,Haugesund,1-0,?,Start
Wed Jul 1 2020,Odd,0-4,?,Bodo/Glimt
Wed Jul 1 2020,Stabaek,2-0,?,Stromsgodset
Wed Jul 1 2020,Viking,2-0,?,Sandefjord
Wed Jul 1 2020,Rosenborg,1-1,?,Valerenga
Thu Jul 2 2020,Kristiansund,2-2,?,Molde
Thu Jul 2 2020,Sarpsborg 08,0-1,?,Brann
Sat Jul 4 2020,Start,1-1,?,Viking
Sat Jul 4 2020,Valerenga,2-2,?,Aalesund
Sun Jul 5 2020,Bodo/Glimt,5-0,?,Brann
Sun Jul 5 2020,Molde,2-1,?,Mjondalen
Sun Jul 5 2020,Odd,0-0,?,Haugesund
Sun Jul 5 2020,Sandefjord,0-3,?,Sarpsborg 08
Sun Jul 5 2020,Stromsgodset,2-2,?,Kristiansund
Sun Jul 5 2020,Stabaek,0-3,?,Rosenborg
Sat Jul 11 2020,Haugesund,0-3,?,Molde
Sat Jul 11 2020,Rosenborg,3-0,?,Stromsgodset
Sun Jul 12 2020,Aalesund,1-6,?,Bodo/Glimt
Sun Jul 12 2020,Kristiansund,1-2,?,Stabaek
Sun Jul 12 2020,Mjondalen,0-1,?,Valerenga
Sun Jul 12 2020,Sarpsborg 08,1-0,?,Start
Sun Jul 12 2020,Viking,1-2,?,Odd
Sun Jul 12 2020,Brann,3-1,?,Sandefjord
Wed Jul 15 2020,Bodo/Glimt,2-1,?,Kristiansund
Wed Jul 15 2020,Molde,5-0,?,Viking
Wed Jul 15 2020,Sandefjord,1-0,?,Aalesund
Wed Jul 15 2020,Stromsgodset,2-1,?,Mjondalen
Wed Jul 15 2020,Valerenga,1-0,?,Haugesund
Wed Jul 15 2020,Odd,1-0,?,Brann
Thu Jul 16 2020,Stabaek,1-1,?,Sarpsborg 08
Thu Jul 16 2020,Start,0-0,?,Rosenborg
Sat Jul 18 2020,Mjondalen,2-3,?,Bodo/Glimt
Sat Jul 18 2020,Haugesund,0-2,?,Viking
Sun Jul 19 2020,Aalesund,1-3,?,Stabaek
Sun Jul 19 2020,Kristiansund,0-0,?,Valerenga
Sun Jul 19 2020,Rosenborg,2-1,?,Sandefjord
Sun Jul 19 2020,Sarpsborg 08,2-0,?,Odd
Sun Jul 19 2020,Stromsgodset,0-4,?,Molde
Sun Jul 19 2020,Brann,1-1,?,Start
Sat Jul 25 2020,Odd,3-2,?,Aalesund
Sat Jul 25 2020,Brann,1-1,?,Kristiansund
Sun Jul 26 2020,Bodo/Glimt,3-1,?,Molde
Sun Jul 26 2020,Sandefjord,1-0,?,Mjondalen
Sun Jul 26 2020,Start,0-0,?,Stabaek
Sun Jul 26 2020,Valerenga,2-0,?,Stromsgodset
Sun Jul 26 2020,Viking,3-0,?,Sarpsborg 08
Sun Jul 26 2020,Haugesund,1-0,?,Rosenborg
Wed Jul 29 2020,Aalesund,3-2,?,Start
Wed Jul 29 2020,Kristiansund,3-1,?,Sandefjord
Wed Jul 29 2020,Mjondalen,0-2,?,Odd
Wed Jul 29 2020,Sarpsborg 08,0-0,?,Haugesund
Wed Jul 29 2020,Stromsgodset,3-1,?,Brann
Wed Jul 29 2020,Molde,4-1,?,Valerenga
Thu Jul 30 2020,Stabaek,2-2,?,Bodo/Glimt
Thu Jul 30 2020,Rosenborg,3-0,?,Viking
Sat Aug 1 2020,Sandefjord,2-1,?,Molde
Sat Aug 1 2020,Brann,1-2,?,Valerenga
Sun Aug 2 2020,Bodo/Glimt,3-2,?,Stromsgodset
Sun Aug 2 2020,Haugesund,3-1,?,Stabaek
Sun Aug 2 2020,Sarpsborg 08,4-0,?,Aalesund
Sun Aug 2 2020,Start,3-0,?,Mjondalen
Sun Aug 2 2020,Viking,1-2,?,Kristiansund
Sun Aug 2 2020,Odd,2-1,?,Rosenborg
Wed Aug 5 2020,Molde,5-0,?,Start
Sat Aug 8 2020,Valerenga,2-2,?,Bodo/Glimt
Sun Aug 9 2020,Aalesund,2-2,?,Viking
Sun Aug 9 2020,Kristiansund,3-2,?,Start
Sun Aug 9 2020,Mjondalen,1-0,?,Haugesund
Sun Aug 9 2020,Stabaek,0-1,?,Odd
Sun Aug 9 2020,Stromsgodset,3-4,?,Sandefjord
Sun Aug 9 2020,Rosenborg,5-1,?,Sarpsborg 08
Mon Aug 10 2020,Molde,1-2,?,Brann
