Date,Team 1,FT,HT,Team 2
Fri Feb 14 2020,Cork City,0-1,?,Shelbourne
Fri Feb 14 2020,Dundalk,1-0,?,Derry City
Fri Feb 14 2020,St. Patricks,0-1,?,Waterford
Fri Feb 14 2020,Finn Harps,1-0,?,Sligo Rovers
Sat Feb 15 2020,Bohemians,0-1,?,Shamrock Rovers
Fri Feb 21 2020,Derry City,1-1,?,Finn Harps
Fri Feb 21 2020,Shelbourne,1-2,?,Dundalk
Fri Feb 21 2020,Sligo Rovers,0-2,?,St. Patricks
Fri Feb 21 2020,Waterford,0-2,?,Bohemians
Fri Feb 21 2020,Shamrock Rovers,6-0,?,Cork City
Mon Feb 24 2020,Waterford,0-2,?,Shamrock Rovers
Mon Feb 24 2020,Bohemians,2-0,?,Sligo Rovers
Mon Feb 24 2020,Dundalk,3-0,?,Cork City
Fri Feb 28 2020,Cork City,1-0,?,Finn Harps
Fri Feb 28 2020,Derry City,2-0,?,Bohemians
Fri Feb 28 2020,Shamrock Rovers,3-2,?,Dundalk
Fri Feb 28 2020,Shelbourne,1-0,?,St. Patricks
Fri Mar 6 2020,St. Patricks,1-0,?,Cork City
Fri Mar 6 2020,Waterford,2-1,?,Derry City
Fri Mar 6 2020,Bohemians,2-0,?,Shelbourne
Fri Mar 6 2020,Finn Harps,0-4,?,Dundalk
Sat Mar 7 2020,Sligo Rovers,2-3,?,Shamrock Rovers
Fri Jul 31 2020,Derry City,0-2,?,Sligo Rovers
Fri Jul 31 2020,Dundalk,1-1,?,St. Patricks
Sat Aug 1 2020,Shelbourne,0-1,?,Waterford
Sat Aug 1 2020,Shamrock Rovers,3-1,?,Finn Harps
Sun Aug 2 2020,Cork City,0-1,?,Bohemians
Mon Aug 3 2020,St. Patricks,0-2,?,Derry City
Tue Aug 4 2020,Finn Harps,0-1,?,Shelbourne
Fri Aug 7 2020,Bohemians,2-1,?,Dundalk
Fri Aug 7 2020,St. Patricks,2-0,?,Finn Harps
Sat Aug 8 2020,Waterford,0-0,?,Cork City
Sat Aug 8 2020,Sligo Rovers,2-1,?,Shelbourne
Sun Aug 9 2020,Derry City,1-2,?,Shamrock Rovers
Fri Aug 14 2020,Dundalk,2-2,?,Waterford
Fri Aug 14 2020,Cork City,3-0,?,Sligo Rovers
Sat Aug 15 2020,Finn Harps,0-1,?,Bohemians
Sat Aug 15 2020,Shelbourne,1-1,?,Derry City
Sun Aug 16 2020,St. Patricks,0-0,?,Shamrock Rovers
Tue Aug 18 2020,Sligo Rovers,2-1,?,Waterford
Fri Aug 21 2020,Derry City,3-1,?,Cork City
Fri Aug 21 2020,Shamrock Rovers,0-0,?,Shelbourne
Sat Aug 22 2020,Bohemians,2-0,?,St. Patricks
Sat Aug 22 2020,Sligo Rovers,3-1,?,Dundalk
Sun Aug 23 2020,Waterford,2-3,?,Finn Harps
Fri Sep 4 2020,Waterford,3-0,?,St. Patricks
Sat Sep 5 2020,Shamrock Rovers,1-0,?,Bohemians
Sat Sep 5 2020,Shelbourne,1-1,?,Cork City
Mon Sep 7 2020,Sligo Rovers,3-1,?,Finn Harps
Fri Sep 11 2020,Bohemians,0-2,?,Waterford
Fri Sep 11 2020,Dundalk,3-2,?,Shelbourne
Sat Sep 12 2020,Cork City,0-3,?,Shamrock Rovers
Sat Sep 12 2020,St. Patricks,0-0,?,Sligo Rovers
Sun Sep 13 2020,Finn Harps,0-0,?,Derry City
Fri Sep 18 2020,Derry City,0-0,?,St. Patricks
Fri Sep 18 2020,Sligo Rovers,0-1,?,Bohemians
Sat Sep 19 2020,Shelbourne,1-1,?,Finn Harps
Mon Sep 21 2020,Shamrock Rovers,6-1,?,Waterford
Fri Sep 25 2020,Bohemians,2-1,?,Derry City
Sat Sep 26 2020,Waterford,1-0,?,Sligo Rovers
Sat Sep 26 2020,St. Patricks,2-0,?,Shelbourne
Sun Sep 27 2020,Finn Harps,1-1,?,Cork City
Sun Sep 27 2020,Dundalk,0-4,?,Shamrock Rovers
Tue Sep 29 2020,Sligo Rovers,1-0,?,Derry City
Fri Oct 2 2020,Derry City,2-0,?,Waterford
Fri Oct 2 2020,Shamrock Rovers,4-0,?,Sligo Rovers
Sat Oct 3 2020,Cork City,1-2,?,St. Patricks
Sat Oct 3 2020,Shelbourne,1-3,?,Bohemians
Sun Oct 4 2020,Dundalk,0-0,?,Finn Harps
Fri Oct 9 2020,Bohemians,3-0,?,Cork City
Sat Oct 10 2020,Waterford,0-1,?,Shelbourne
Tue Oct 13 2020,Cork City,0-2,?,Dundalk
Fri Oct 16 2020,Dundalk,0-0,?,Bohemians
Sat Oct 17 2020,Cork City,0-0,?,Waterford
Sun Oct 18 2020,Shelbourne,1-0,?,Sligo Rovers
Mon Oct 19 2020,Derry City,1-2,?,Dundalk
Fri Oct 23 2020,Derry City,2-0,?,Shelbourne
Sat Oct 24 2020,Sligo Rovers,2-1,?,Cork City
Sat Oct 24 2020,Bohemians,0-2,?,Finn Harps
Sun Oct 25 2020,Waterford,1-0,?,Dundalk
Wed Oct 28 2020,Finn Harps,3-2,?,St. Patricks
Sat Oct 31 2020,Bray,0-1,?,Galway
Sat Oct 31 2020,UC Dublin,1-1,?,Longford
Sun Nov 1 2020,St. Patricks,1-1,?,Dundalk
Sun Nov 1 2020,Finn Harps,0-2,?,Shamrock Rovers
Wed Nov 4 2020,Shamrock Rovers,0-0,?,St. Patricks
Fri Nov 6 2020,Galway,1-2,?,Longford
Sat Nov 7 2020,Shamrock Rovers,2-0,?,Derry City
Mon Nov 9 2020,Cork City,1-1,?,Derry City
Mon Nov 9 2020,Dundalk,0-2,?,Sligo Rovers
Mon Nov 9 2020,Finn Harps,1-0,?,Waterford
Mon Nov 9 2020,Shelbourne,0-2,?,Shamrock Rovers
Mon Nov 9 2020,St. Patricks,1-2,?,Bohemians
Sun Nov 15 2020,Shelbourne,0-1,?,Longford
