Date,Team 1,FT,HT,Team 2
Sat Aug 20 1994,Farense,0-2,?,Sp Lisbon
Sun Aug 21 1994,Belenenses,0-0,?,Est Amadora
Sun Aug 21 1994,Benfica,2-0,?,Beira Mar
Sun Aug 21 1994,Desp. Chaves,0-1,?,Salgueiros
Sun Aug 21 1994,Gil Vicente,0-1,?,Tirsense
Sun Aug 21 1994,Guimaraes,2-0,?,Boavista
Sun Aug 21 1994,Leiria,1-2,?,Madeira
Sun Aug 21 1994,Maritimo,3-2,?,Setubal
Sun Aug 21 1994,Porto,2-0,?,Sp Braga
Sat Aug 27 1994,Sp Lisbon,2-1,?,Belenenses
Sun Aug 28 1994,Beira Mar,0-2,?,Porto
Sun Aug 28 1994,Boavista,2-1,?,Farense
Sun Aug 28 1994,Est Amadora,1-1,?,Maritimo
Sun Aug 28 1994,Madeira,0-2,?,Benfica
Sun Aug 28 1994,Salgueiros,0-0,?,Guimaraes
Sun Aug 28 1994,Setubal,2-2,?,Leiria
Sun Aug 28 1994,Sp Braga,1-1,?,Gil Vicente
Sun Aug 28 1994,Tirsense,0-1,?,Desp. Chaves
Fri Sep 9 1994,Maritimo,2-0,?,Leiria
Sat Sep 10 1994,Belenenses,3-1,?,Boavista
Sat Sep 10 1994,Benfica,1-0,?,Setubal
Sat Sep 10 1994,Est Amadora,0-2,?,Sp Lisbon
Sun Sep 11 1994,Desp. Chaves,1-0,?,Sp Braga
Sun Sep 11 1994,Farense,1-0,?,Salgueiros
Sun Sep 11 1994,Gil Vicente,0-1,?,Beira Mar
Sun Sep 11 1994,Guimaraes,1-0,?,Tirsense
Sun Sep 11 1994,Porto,3-0,?,Madeira
Sat Sep 17 1994,Beira Mar,4-2,?,Desp. Chaves
Sat Sep 17 1994,Boavista,2-1,?,Est Amadora
Sat Sep 17 1994,Leiria,1-0,?,Benfica
Sat Sep 17 1994,Madeira,2-0,?,Gil Vicente
Sat Sep 17 1994,Salgueiros,1-0,?,Belenenses
Sat Sep 17 1994,Setubal,2-3,?,Porto
Sat Sep 17 1994,Sp Braga,3-1,?,Guimaraes
Sat Sep 17 1994,Sp Lisbon,2-0,?,Maritimo
Sat Sep 17 1994,Tirsense,3-0,?,Farense
