Date,Team 1,FT,HT,Team 2
Sat Aug 13 1994,Barnet,1-2,?,Scunthorpe
Sat Aug 13 1994,Bury,0-1,?,Rochdale
Sat Aug 13 1994,Carlisle,2-1,?,Wigan
Sat Aug 13 1994,Chesterfield,0-1,?,Scarborough
Sat Aug 13 1994,Colchester,1-3,?,Torquay
Sat Aug 13 1994,Darlington,0-0,?,Preston
Sat Aug 13 1994,Fulham,1-1,?,Walsall
Sat Aug 13 1994,Gillingham,0-0,?,Hartlepool
Sat Aug 13 1994,Hereford,0-1,?,Doncaster
Sat Aug 13 1994,Lincoln,2-0,?,Exeter
Sat Aug 20 1994,Doncaster,1-0,?,Northampton
Sat Aug 20 1994,Exeter,0-4,?,Bury
Sat Aug 20 1994,Hartlepool,1-0,?,Darlington
Sat Aug 20 1994,Hereford,0-2,?,Preston
Sat Aug 20 1994,Mansfield,2-0,?,Colchester
Sat Aug 20 1994,Rochdale,4-1,?,Chesterfield
Sat Aug 20 1994,Scarborough,0-1,?,Barnet
Sat Aug 20 1994,Scunthorpe,1-2,?,Fulham
Sat Aug 20 1994,Torquay,1-1,?,Carlisle
Sat Aug 20 1994,Walsall,2-1,?,Lincoln
Sat Aug 20 1994,Wigan,0-3,?,Gillingham
Sat Aug 27 1994,Barnet,2-1,?,Preston
Sat Aug 27 1994,Bury,2-0,?,Hartlepool
Sat Aug 27 1994,Carlisle,2-0,?,Scarborough
Sat Aug 27 1994,Chesterfield,0-1,?,Mansfield
Sat Aug 27 1994,Colchester,0-3,?,Doncaster
Sat Aug 27 1994,Darlington,2-0,?,Exeter
Sat Aug 27 1994,Fulham,2-0,?,Wigan
Sat Aug 27 1994,Gillingham,1-1,?,Rochdale
Sat Aug 27 1994,Hereford,0-0,?,Walsall
Sat Aug 27 1994,Lincoln,1-2,?,Torquay
Sat Aug 27 1994,Scunthorpe,1-1,?,Northampton
Tue Aug 30 1994,Bury,0-0,?,Preston
Tue Aug 30 1994,Doncaster,0-0,?,Fulham
Tue Aug 30 1994,Exeter,1-0,?,Colchester
Tue Aug 30 1994,Hartlepool,0-1,?,Barnet
Tue Aug 30 1994,Mansfield,0-1,?,Darlington
Tue Aug 30 1994,Rochdale,1-0,?,Lincoln
Tue Aug 30 1994,Scarborough,3-1,?,Hereford
Tue Aug 30 1994,Scunthorpe,3-0,?,Gillingham
Tue Aug 30 1994,Torquay,2-1,?,Northampton
Tue Aug 30 1994,Walsall,1-2,?,Carlisle
Tue Aug 30 1994,Wigan,2-3,?,Chesterfield
Sat Sep 3 1994,Doncaster,0-0,?,Darlington
Sat Sep 3 1994,Exeter,3-0,?,Gillingham
Sat Sep 3 1994,Hartlepool,0-2,?,Chesterfield
Sat Sep 3 1994,Mansfield,0-2,?,Bury
Sat Sep 3 1994,Preston,4-0,?,Lincoln
Sat Sep 3 1994,Rochdale,1-3,?,Hereford
Sat Sep 3 1994,Scarborough,0-1,?,Colchester
Sat Sep 3 1994,Scunthorpe,2-3,?,Carlisle
Sat Sep 3 1994,Torquay,2-1,?,Fulham
Sat Sep 3 1994,Walsall,1-1,?,Northampton
Sat Sep 3 1994,Wigan,1-2,?,Barnet
Sat Sep 10 1994,Barnet,0-0,?,Doncaster
Sat Sep 10 1994,Bury,2-0,?,Scunthorpe
Sat Sep 10 1994,Carlisle,1-0,?,Exeter
Sat Sep 10 1994,Chesterfield,0-0,?,Walsall
Sat Sep 10 1994,Colchester,1-0,?,Hartlepool
Sat Sep 10 1994,Darlington,2-1,?,Torquay
Sat Sep 10 1994,Fulham,0-1,?,Preston
Sat Sep 10 1994,Gillingham,3-1,?,Scarborough
Sat Sep 10 1994,Hereford,1-2,?,Wigan
Sat Sep 10 1994,Lincoln,3-2,?,Mansfield
Sat Sep 10 1994,Northampton,1-2,?,Rochdale
Tue Sep 13 1994,Barnet,6-2,?,Rochdale
Tue Sep 13 1994,Bury,2-0,?,Doncaster
Tue Sep 13 1994,Carlisle,2-1,?,Mansfield
Tue Sep 13 1994,Chesterfield,2-0,?,Exeter
Tue Sep 13 1994,Colchester,3-2,?,Walsall
Tue Sep 13 1994,Darlington,1-3,?,Scunthorpe
Tue Sep 13 1994,Fulham,1-2,?,Scarborough
Tue Sep 13 1994,Gillingham,2-3,?,Preston
Tue Sep 13 1994,Hereford,1-1,?,Torquay
Tue Sep 13 1994,Lincoln,1-0,?,Wigan
Tue Sep 13 1994,Northampton,1-1,?,Hartlepool
Fri Sep 16 1994,Doncaster,3-0,?,Hereford
Sat Sep 17 1994,Exeter,1-0,?,Lincoln
Sat Sep 17 1994,Hartlepool,2-0,?,Gillingham
Sat Sep 17 1994,Mansfield,1-1,?,Northampton
Sat Sep 17 1994,Preston,1-3,?,Darlington
Sat Sep 17 1994,Rochdale,0-3,?,Bury
Sat Sep 17 1994,Scarborough,0-1,?,Chesterfield
Sat Sep 17 1994,Scunthorpe,1-0,?,Barnet
Sat Sep 17 1994,Torquay,3-3,?,Colchester
Sat Sep 17 1994,Walsall,5-1,?,Fulham
Sat Sep 17 1994,Wigan,0-2,?,Carlisle
Sat Sep 24 1994,Bury,2-1,?,Chesterfield
Sat Sep 24 1994,Darlington,2-3,?,Colchester
Sat Sep 24 1994,Doncaster,2-1,?,Preston
Sat Sep 24 1994,Fulham,1-1,?,Hereford
Sat Sep 24 1994,Hartlepool,0-3,?,Lincoln
Sat Sep 24 1994,Mansfield,1-1,?,Exeter
Sat Sep 24 1994,Northampton,2-1,?,Carlisle
Sat Sep 24 1994,Scarborough,2-4,?,Rochdale
Sat Sep 24 1994,Scunthorpe,3-1,?,Wigan
Sat Sep 24 1994,Torquay,1-2,?,Barnet
Sat Sep 24 1994,Walsall,2-1,?,Gillingham
Sat Oct 1 1994,Barnet,0-0,?,Fulham
Sat Oct 1 1994,Carlisle,2-1,?,Darlington
Sat Oct 1 1994,Chesterfield,1-0,?,Torquay
Sat Oct 1 1994,Colchester,1-0,?,Bury
Sat Oct 1 1994,Exeter,2-1,?,Hartlepool
Sat Oct 1 1994,Gillingham,0-2,?,Mansfield
Sat Oct 1 1994,Hereford,2-1,?,Scunthorpe
Sat Oct 1 1994,Lincoln,2-2,?,Northampton
Sat Oct 1 1994,Preston,1-2,?,Walsall
Sat Oct 1 1994,Rochdale,2-0,?,Doncaster
Sat Oct 1 1994,Wigan,1-1,?,Scarborough
Sat Oct 8 1994,Barnet,2-2,?,Hereford
Sat Oct 8 1994,Colchester,0-3,?,Chesterfield
Sat Oct 8 1994,Darlington,0-2,?,Bury
Sat Oct 8 1994,Doncaster,5-3,?,Wigan
Sat Oct 8 1994,Exeter,0-0,?,Northampton
Sat Oct 8 1994,Gillingham,1-0,?,Torquay
Sat Oct 8 1994,Lincoln,1-1,?,Carlisle
Sat Oct 8 1994,Mansfield,2-0,?,Hartlepool
Sat Oct 8 1994,Preston,0-1,?,Scunthorpe
Sat Oct 8 1994,Rochdale,1-2,?,Fulham
Sat Oct 8 1994,Walsall,4-1,?,Scarborough
Thu Oct 13 1994,Northampton,0-1,?,Mansfield
Sat Oct 15 1994,Bury,2-0,?,Lincoln
Sat Oct 15 1994,Carlisle,0-0,?,Colchester
Sat Oct 15 1994,Chesterfield,0-0,?,Darlington
Sat Oct 15 1994,Fulham,4-0,?,Exeter
Sat Oct 15 1994,Hartlepool,3-1,?,Preston
Sat Oct 15 1994,Hereford,2-1,?,Gillingham
Sat Oct 15 1994,Northampton,1-1,?,Barnet
Sat Oct 15 1994,Scarborough,2-2,?,Doncaster
Sat Oct 15 1994,Scunthorpe,0-1,?,Walsall
Sat Oct 15 1994,Torquay,2-1,?,Mansfield
Sat Oct 15 1994,Wigan,4-0,?,Rochdale
Sat Oct 22 1994,Bury,3-2,?,Gillingham
Sat Oct 22 1994,Carlisle,4-0,?,Barnet
Sat Oct 22 1994,Chesterfield,1-1,?,Fulham
Sat Oct 22 1994,Colchester,3-1,?,Preston
Sat Oct 22 1994,Darlington,3-1,?,Hereford
Sat Oct 22 1994,Exeter,2-2,?,Scunthorpe
Sat Oct 22 1994,Hartlepool,1-1,?,Walsall
