Date,Team 1,FT,HT,Team 2
Fri Mar 8 2013,Bohemians,2-1,?,UC Dublin
Fri Mar 8 2013,Bray,1-0,?,Shelbourne
Fri Mar 8 2013,Derry City,0-1,?,Sligo Rovers
Fri Mar 8 2013,Dundalk,0-0,?,Shamrock Rovers
Fri Mar 8 2013,St. Patricks,1-0,?,Drogheda
Sun Mar 10 2013,Limerick,0-0,?,Cork City
Fri Mar 15 2013,Shamrock Rovers,3-0,?,St. Patricks
Fri Mar 15 2013,Cork City,2-1,?,Bohemians
Fri Mar 15 2013,Drogheda,2-2,?,Limerick
Fri Mar 15 2013,UC Dublin,0-6,?,Derry City
Fri Mar 15 2013,Shelbourne,1-3,?,Dundalk
Sat Mar 16 2013,Sligo Rovers,3-0,?,Bray
Mon Mar 18 2013,Bohemians,0-0,?,Shamrock Rovers
Tue Mar 19 2013,Derry City,1-1,?,Drogheda
Tue Mar 19 2013,Dundalk,1-3,?,Sligo Rovers
Tue Mar 19 2013,Limerick,3-1,?,UC Dublin
Sat Mar 23 2013,Sligo Rovers,2-1,?,Limerick
Sat Mar 23 2013,UC Dublin,1-2,?,Dundalk
Sun Mar 24 2013,Drogheda,2-1,?,Bray
Sun Mar 24 2013,Cork City,0-1,?,Derry City
Sun Mar 24 2013,Shelbourne,0-0,?,Shamrock Rovers
Thu Mar 28 2013,Dundalk,2-2,?,Drogheda
Fri Mar 29 2013,Bohemians,0-3,?,Sligo Rovers
Fri Mar 29 2013,Bray,2-2,?,UC Dublin
Fri Mar 29 2013,Derry City,4-0,?,Shelbourne
Fri Mar 29 2013,Shamrock Rovers,1-1,?,Cork City
Sat Mar 30 2013,Limerick,0-1,?,St. Patricks
Mon Apr 1 2013,Derry City,2-0,?,Bray
Mon Apr 1 2013,Drogheda,1-1,?,Cork City
Mon Apr 1 2013,Shelbourne,0-1,?,Bohemians
Mon Apr 1 2013,UC Dublin,0-3,?,Sligo Rovers
Tue Apr 2 2013,Limerick,1-1,?,Shamrock Rovers
Tue Apr 2 2013,St. Patricks,1-2,?,Dundalk
Fri Apr 5 2013,Bohemians,0-4,?,Derry City
Fri Apr 5 2013,Bray,0-1,?,St. Patricks
Fri Apr 5 2013,Cork City,2-1,?,UC Dublin
Fri Apr 5 2013,Dundalk,2-2,?,Limerick
Fri Apr 5 2013,Shamrock Rovers,1-1,?,Drogheda
Sat Apr 6 2013,Sligo Rovers,2-0,?,Shelbourne
Fri Apr 12 2013,Dundalk,1-3,?,Derry City
Fri Apr 12 2013,UC Dublin,0-1,?,St. Patricks
Fri Apr 12 2013,Shamrock Rovers,7-0,?,Bray
Fri Apr 12 2013,Shelbourne,1-3,?,Drogheda
Sat Apr 13 2013,Sligo Rovers,2-0,?,Cork City
Mon Apr 15 2013,St. Patricks,4-0,?,Shelbourne
Tue Apr 16 2013,Limerick,2-1,?,Bohemians
Fri Apr 19 2013,St. Patricks,2-0,?,Sligo Rovers
Fri Apr 19 2013,Bohemians,0-2,?,Dundalk
Fri Apr 19 2013,Cork City,1-1,?,Shelbourne
Fri Apr 19 2013,Derry City,2-1,?,Shamrock Rovers
Fri Apr 19 2013,Drogheda,3-2,?,UC Dublin
Sun Apr 21 2013,Bray,0-4,?,Limerick
Fri Apr 26 2013,Dundalk,2-0,?,Cork City
Fri Apr 26 2013,Bohemians,3-2,?,Bray
Fri Apr 26 2013,St. Patricks,1-1,?,Derry City
Fri Apr 26 2013,UC Dublin,2-0,?,Shamrock Rovers
Sat Apr 27 2013,Limerick,0-0,?,Shelbourne
Sat Apr 27 2013,Sligo Rovers,2-2,?,Drogheda
Mon Apr 29 2013,Bray,1-2,?,Cork City
Mon Apr 29 2013,St. Patricks,1-1,?,Bohemians
Fri May 3 2013,Bray,0-1,?,Dundalk
Fri May 3 2013,Cork City,0-2,?,St. Patricks
Fri May 3 2013,Derry City,2-1,?,Limerick
Fri May 3 2013,Drogheda,2-2,?,Bohemians
Fri May 3 2013,Shamrock Rovers,1-1,?,Sligo Rovers
Fri May 3 2013,Shelbourne,2-0,?,UC Dublin
Mon May 6 2013,Drogheda,1-2,?,St. Patricks
Mon May 6 2013,Cork City,2-3,?,Limerick
Mon May 6 2013,Sligo Rovers,3-0,?,Derry City
Mon May 6 2013,Shamrock Rovers,1-0,?,Dundalk
Mon May 6 2013,Shelbourne,1-2,?,Bray
Tue May 7 2013,UC Dublin,1-0,?,Bohemians
Fri May 10 2013,Bohemians,1-2,?,Cork City
Fri May 10 2013,Bray,0-0,?,Sligo Rovers
Fri May 10 2013,Derry City,2-4,?,UC Dublin
Fri May 10 2013,Dundalk,1-0,?,Shelbourne
Tue May 14 2013,Limerick,0-1,?,Drogheda
Tue May 14 2013,St. Patricks,0-0,?,Shamrock Rovers
Fri May 17 2013,Shamrock Rovers,1-1,?,Bohemians
Fri May 17 2013,Cork City,1-3,?,Bray
Fri May 17 2013,Drogheda,2-3,?,Derry City
Fri May 17 2013,UC Dublin,1-1,?,Limerick
Fri May 17 2013,Shelbourne,0-3,?,St. Patricks
Fri May 24 2013,Limerick,0-0,?,Sligo Rovers
Fri May 24 2013,Bohemians,0-2,?,St. Patricks
Fri May 24 2013,Bray,3-2,?,Drogheda
Fri May 24 2013,Derry City,1-1,?,Cork City
Fri May 24 2013,Dundalk,2-3,?,UC Dublin
Fri May 24 2013,Shamrock Rovers,1-0,?,Shelbourne
Tue May 28 2013,Sligo Rovers,0-1,?,Dundalk
Tue May 28 2013,St. Patricks,5-0,?,UC Dublin
Sat Jun 8 2013,St. Patricks,3-0,?,Limerick
Sat Jun 8 2013,Sligo Rovers,0-0,?,Bohemians
Sat Jun 8 2013,UC Dublin,4-5,?,Bray
Sat Jun 8 2013,Shelbourne,0-1,?,Derry City
Sun Jun 9 2013,Cork City,1-2,?,Shamrock Rovers
Mon Jun 10 2013,Drogheda,0-1,?,Dundalk
Fri Jun 14 2013,Bohemians,0-3,?,Shelbourne
Fri Jun 14 2013,Bray,2-3,?,Derry City
Fri Jun 14 2013,Cork City,1-0,?,Drogheda
Fri Jun 14 2013,Dundalk,2-1,?,St. Patricks
Fri Jun 14 2013,Shamrock Rovers,1-0,?,Limerick
Sat Jun 15 2013,Sligo Rovers,5-2,?,UC Dublin
Fri Jun 28 2013,Derry City,2-1,?,Bohemians
Fri Jun 28 2013,Drogheda,0-3,?,Shamrock Rovers
Fri Jun 28 2013,St. Patricks,2-0,?,Bray
Fri Jun 28 2013,UC Dublin,3-0,?,Cork City
