Date,Team 1,FT,HT,Team 2
Sat Mar 2 2013,Philadelphia Union,1-3,?,Sporting Kansas City
Sat Mar 2 2013,Vancouver Whitecaps,1-0,?,Toronto FC
Sat Mar 2 2013,Houston Dynamo,2-0,?,DC United
Sat Mar 2 2013,FC Dallas,1-0,?,Colorado Rapids
Sat Mar 2 2013,Chivas USA,0-3,?,Columbus Crew
Sat Mar 2 2013,Seattle Sounders,0-1,?,CF Montreal
Sun Mar 3 2013,Los Angeles Galaxy,4-0,?,Chicago Fire
Sun Mar 3 2013,Portland Timbers,3-3,?,New York Red Bulls
Sun Mar 3 2013,San Jose Earthquakes,0-2,?,Real Salt Lake
Sat Mar 9 2013,Toronto FC,2-1,?,Sporting Kansas City
Sat Mar 9 2013,DC United,1-0,?,Real Salt Lake
Sat Mar 9 2013,Chicago Fire,0-1,?,New England Revolution
Sat Mar 9 2013,Vancouver Whitecaps,2-1,?,Columbus Crew
Sat Mar 9 2013,Portland Timbers,1-2,?,CF Montreal
Sun Mar 10 2013,Colorado Rapids,1-2,?,Philadelphia Union
Sun Mar 10 2013,Chivas USA,3-1,?,FC Dallas
Sun Mar 10 2013,San Jose Earthquakes,2-1,?,New York Red Bulls
Sat Mar 16 2013,New York Red Bulls,0-0,?,DC United
Sat Mar 16 2013,Sporting Kansas City,0-0,?,Chicago Fire
Sat Mar 16 2013,CF Montreal,2-1,?,Toronto FC
Sat Mar 16 2013,Philadelphia Union,1-0,?,New England Revolution
Sat Mar 16 2013,Columbus Crew,1-1,?,San Jose Earthquakes
Sat Mar 16 2013,Real Salt Lake,1-1,?,Colorado Rapids
Sat Mar 16 2013,Seattle Sounders,1-1,?,Portland Timbers
Sun Mar 17 2013,FC Dallas,3-2,?,Houston Dynamo
Sun Mar 17 2013,Los Angeles Galaxy,1-1,?,Chivas USA
Sat Mar 23 2013,DC United,1-2,?,Columbus Crew
Sat Mar 23 2013,New England Revolution,0-0,?,Sporting Kansas City
Sat Mar 23 2013,CF Montreal,1-0,?,New York Red Bulls
Sat Mar 23 2013,FC Dallas,2-0,?,Real Salt Lake
Sat Mar 23 2013,Houston Dynamo,2-1,?,Vancouver Whitecaps
Sat Mar 23 2013,Los Angeles Galaxy,1-0,?,Colorado Rapids
Sat Mar 23 2013,San Jose Earthquakes,1-0,?,Seattle Sounders
Sun Mar 24 2013,Chicago Fire,1-4,?,Chivas USA
Sat Mar 30 2013,Toronto FC,2-2,?,Los Angeles Galaxy
Sat Mar 30 2013,New York Red Bulls,2-1,?,Philadelphia Union
Sat Mar 30 2013,New England Revolution,0-1,?,FC Dallas
Sat Mar 30 2013,Colorado Rapids,2-2,?,Portland Timbers
Sat Mar 30 2013,Houston Dynamo,2-0,?,San Jose Earthquakes
Sat Mar 30 2013,Sporting Kansas City,2-0,?,CF Montreal
Sat Mar 30 2013,Real Salt Lake,2-1,?,Seattle Sounders
Sat Mar 30 2013,Chivas USA,2-1,?,Vancouver Whitecaps
Fri Apr 5 2013,Sporting Kansas City,1-0,?,DC United
Sat Apr 6 2013,Toronto FC,2-2,?,FC Dallas
Sat Apr 6 2013,Columbus Crew,1-1,?,Philadelphia Union
Sat Apr 6 2013,Colorado Rapids,1-0,?,Real Salt Lake
Sat Apr 6 2013,Portland Timbers,2-0,?,Houston Dynamo
Sat Apr 6 2013,San Jose Earthquakes,1-1,?,Vancouver Whitecaps
Sun Apr 7 2013,Chicago Fire,3-1,?,New York Red Bulls
Sat Apr 13 2013,Philadelphia Union,1-1,?,Toronto FC
Sat Apr 13 2013,Seattle Sounders,0-0,?,New England Revolution
Sat Apr 13 2013,Vancouver Whitecaps,1-1,?,Real Salt Lake
Sat Apr 13 2013,DC United,0-2,?,New York Red Bulls
Sat Apr 13 2013,FC Dallas,1-0,?,Los Angeles Galaxy
Sat Apr 13 2013,Chivas USA,0-1,?,Colorado Rapids
Sun Apr 14 2013,CF Montreal,1-1,?,Columbus Crew
Sun Apr 14 2013,Houston Dynamo,2-1,?,Chicago Fire
Sun Apr 14 2013,Portland Timbers,1-0,?,San Jose Earthquakes
Wed Apr 17 2013,New York Red Bulls,0-1,?,Sporting Kansas City
Sat Apr 20 2013,Toronto FC,1-1,?,Houston Dynamo
Sat Apr 20 2013,Colorado Rapids,0-1,?,Seattle Sounders
Sat Apr 20 2013,New York Red Bulls,4-1,?,New England Revolution
