Date,Team 1,FT,HT,Team 2
Sat May 25 2013,Vasco,1-0,?,Portuguesa
Sat May 25 2013,Vitoria,2-2,?,Internacional
Sat May 25 2013,Corinthians,1-1,?,Botafogo RJ
Sun May 26 2013,Criciuma,3-1,?,Bahia
Sun May 26 2013,Gremio,2-0,?,Nautico
Sun May 26 2013,Ponte Preta,0-2,?,Sao Paulo
Sun May 26 2013,Santos,0-0,?,Flamengo RJ
Sun May 26 2013,Coritiba,2-1,?,Atletico-MG
Sun May 26 2013,Cruzeiro,5-0,?,Goias
Sun May 26 2013,Fluminense,2-1,?,Atletico-PR
Wed May 29 2013,Atletico-PR,2-2,?,Cruzeiro
Wed May 29 2013,Botafogo RJ,2-1,?,Santos
Wed May 29 2013,Sao Paulo,5-1,?,Vasco
Wed May 29 2013,Bahia,0-0,?,Coritiba
Wed May 29 2013,Flamengo RJ,0-2,?,Ponte Preta
Wed May 29 2013,Nautico,0-3,?,Vitoria
Wed May 29 2013,Goias,1-1,?,Corinthians
Thu May 30 2013,Internacional,2-0,?,Criciuma
Sat Jun 1 2013,Atletico-PR,2-2,?,Flamengo RJ
Sat Jun 1 2013,Botafogo RJ,2-1,?,Cruzeiro
Sat Jun 1 2013,Santos,1-1,?,Gremio
Sat Jun 1 2013,Goias,1-1,?,Coritiba
Sat Jun 1 2013,Vitoria,2-0,?,Vasco
Sat Jun 1 2013,Corinthians,1-0,?,Ponte Preta
Sun Jun 2 2013,Atletico-MG,0-0,?,Sao Paulo
Sun Jun 2 2013,Fluminense,3-0,?,Criciuma
Sun Jun 2 2013,Internacional,1-2,?,Bahia
Sun Jun 2 2013,Nautico,2-2,?,Portuguesa
Wed Jun 5 2013,Criciuma,3-1,?,Santos
Wed Jun 5 2013,Portuguesa,1-1,?,Internacional
Wed Jun 5 2013,Sao Paulo,0-1,?,Goias
Wed Jun 5 2013,Gremio,1-0,?,Vitoria
Wed Jun 5 2013,Ponte Preta,3-4,?,Atletico-PR
Wed Jun 5 2013,Vasco,2-0,?,Atletico-MG
