Date,Team 1,Team 2,FT,HT
2007-08-10,Buyuksehyr,Fenerbahçe,2-0,2-0
2007-08-11,Ankaraspor,Ankaragucu,1-2,0-2
2007-08-11,Beşiktaş,Konyaspor,1-0,1-0
2007-08-12,Denizlispor,Bursaspor,0-0,0-0
2007-08-12,Galatasaray,Rizespor,4-0,1-0
2007-08-12,Gaziantepspor,Kasımpaşa,2-0,1-0
2007-08-12,Gençlerbirliği,Oftasspor,1-2,1-2
2007-08-12,Kayserispor,Manisaspor,3-1,1-0
2007-08-12,Trabzonspor,Sivasspor,0-3,
2007-08-17,Oftasspor,Trabzonspor,0-2,0-0
2007-08-18,Fenerbahçe,Gaziantepspor,2-1,2-1
2007-08-19,Ankaragucu,Denizlispor,3-2,2-1
2007-08-19,Bursaspor,Galatasaray,0-1,0-0
2007-08-19,Kasımpaşa,Beşiktaş,1-2,1-0
2007-08-19,Konyaspor,Kayserispor,1-1,0-1
2007-08-19,Manisaspor,Ankaraspor,2-1,2-1
2007-08-19,Rizespor,Gençlerbirliği,0-2,0-0
2007-08-19,Sivasspor,Buyuksehyr,2-1,1-0
2007-08-25,Fenerbahçe,Sivasspor,1-0,1-0
2007-08-25,Gaziantepspor,Beşiktaş,0-1,0-0
2007-08-25,Gençlerbirliği,Bursaspor,1-3,0-1
2007-08-26,Ankaraspor,Konyaspor,1-1,1-1
2007-08-26,Buyuksehyr,Oftasspor,1-0,0-0
2007-08-26,Denizlispor,Manisaspor,3-2,1-1
2007-08-26,Galatasaray,Ankaragucu,1-0,1-0
2007-08-26,Kayserispor,Kasımpaşa,2-0,0-0
2007-08-26,Trabzonspor,Rizespor,5-1,2-0
2007-08-31,Bursaspor,Trabzonspor,1-1,1-0
2007-09-01,Ankaragucu,Gençlerbirliği,2-2,2-0
2007-09-01,Beşiktaş,Kayserispor,0-0,0-0
2007-09-01,Konyaspor,Denizlispor,2-2,1-0
2007-09-01,Rizespor,Buyuksehyr,3-1,1-0
2007-09-02,Kasımpaşa,Ankaraspor,3-1,0-0
2007-09-02,Manisaspor,Galatasaray,2-2,1-1
2007-09-02,Oftasspor,Fenerbahçe,1-1,0-1
2007-09-02,Sivasspor,Gaziantepspor,2-0,0-0
2007-09-15,Ankaraspor,Beşiktaş,0-0,0-0
2007-09-15,Denizlispor,Kasımpaşa,0-1,0-1
2007-09-15,Fenerbahçe,Rizespor,1-1,1-1
2007-09-15,Sivasspor,Oftasspor,1-0,1-0
2007-09-16,Buyuksehyr,Bursaspor,1-0,1-0
2007-09-16,Galatasaray,Konyaspor,6-0,3-0
2007-09-16,Gaziantepspor,Kayserispor,4-3,0-0
2007-09-16,Gençlerbirliği,Manisaspor,0-2,0-0
2007-09-16,Trabzonspor,Ankaragucu,0-0,0-0
2007-09-21,Ankaragucu,Buyuksehyr,1-0,0-0
2007-09-21,Manisaspor,Trabzonspor,1-1,0-0
2007-09-22,Beşiktaş,Denizlispor,3-2,2-2
2007-09-22,Kayserispor,Ankaraspor,3-1,2-0
2007-09-22,Konyaspor,Gençlerbirliği,1-1,1-0
2007-09-23,Bursaspor,Fenerbahçe,1-1,0-0
2007-09-23,Kasımpaşa,Galatasaray,0-1,0-0
2007-09-23,Oftasspor,Gaziantepspor,1-2,0-1
2007-09-23,Rizespor,Sivasspor,0-2,0-1
2007-09-28,Fenerbahçe,Ankaragucu,2-0,1-0
2007-09-29,Galatasaray,Beşiktaş,2-1,1-1
2007-09-29,Oftasspor,Rizespor,2-0,0-0
2007-09-30,Buyuksehyr,Manisaspor,4-1,1-0
2007-09-30,Denizlispor,Kayserispor,2-0,0-0
2007-09-30,Gaziantepspor,Ankaraspor,1-0,0-0
2007-09-30,Gençlerbirliği,Kasımpaşa,3-1,1-1
2007-09-30,Sivasspor,Bursaspor,3-2,0-2
2007-09-30,Trabzonspor,Konyaspor,1-0,0-0
2007-10-05,Kasımpaşa,Trabzonspor,0-0,0-0
2007-10-06,Ankaraspor,Denizlispor,0-0,0-0
2007-10-06,Bursaspor,Oftasspor,1-1,0-0
2007-10-06,Manisaspor,Fenerbahçe,1-1,1-1
2007-10-07,Ankaragucu,Sivasspor,2-2,0-2
2007-10-07,Beşiktaş,Gençlerbirliği,1-0,1-0
2007-10-07,Kayserispor,Galatasaray,1-1,1-0
2007-10-07,Konyaspor,Buyuksehyr,3-2,1-0
2007-10-07,Rizespor,Gaziantepspor,2-1,0-0
