Date,Team 1,FT,HT,Team 2
Sat Aug 11 2007,Cheltenham,1-0,1-0,Gillingham
Sat Aug 11 2007,Crewe,2-1,1-1,Brighton
Sat Aug 11 2007,Doncaster,0-0,0-0,Millwall
Sat Aug 11 2007,Huddersfield,1-0,1-0,Yeovil
Sat Aug 11 2007,Luton,2-1,1-0,Hartlepool
Sat Aug 11 2007,Northampton,1-1,1-1,Swindon
Sat Aug 11 2007,Nott'm Forest,0-0,0-0,Bournemouth
Sat Aug 11 2007,Oldham,2-1,1-0,Swansea
Sat Aug 11 2007,Port Vale,1-1,0-0,Bristol Rvs
Sat Aug 11 2007,Southend,1-2,1-1,Leyton Orient
Sat Aug 11 2007,Tranmere,1-2,1-0,Leeds
Sat Aug 11 2007,Walsall,1-1,0-1,Carlisle
Sat Aug 18 2007,Bournemouth,0-1,0-1,Huddersfield
Sat Aug 18 2007,Brighton,2-1,1-1,Northampton
Sat Aug 18 2007,Bristol Rvs,1-1,1-1,Crewe
Sat Aug 18 2007,Carlisle,1-0,1-0,Oldham
Sat Aug 18 2007,Gillingham,0-2,0-1,Tranmere
Sat Aug 18 2007,Hartlepool,2-1,1-0,Doncaster
Sat Aug 18 2007,Leeds,4-1,1-0,Southend
Sat Aug 18 2007,Leyton Orient,1-0,0-0,Walsall
Sat Aug 18 2007,Millwall,1-0,1-0,Cheltenham
Sat Aug 18 2007,Swansea,0-0,0-0,Nott'm Forest
Sat Aug 18 2007,Swindon,2-1,0-0,Luton
Sat Aug 18 2007,Yeovil,1-0,1-0,Port Vale
Sat Aug 25 2007,Cheltenham,1-1,0-1,Swindon
Sat Aug 25 2007,Crewe,0-2,0-1,Leyton Orient
Sat Aug 25 2007,Doncaster,1-2,1-1,Bournemouth
Sat Aug 25 2007,Huddersfield,0-2,0-2,Carlisle
Sat Aug 25 2007,Luton,3-1,2-1,Gillingham
Sat Aug 25 2007,Northampton,1-2,1-1,Yeovil
Sat Aug 25 2007,Nott'm Forest,1-2,0-1,Leeds
Sat Aug 25 2007,Oldham,0-1,0-1,Bristol Rvs
Sat Aug 25 2007,Port Vale,0-2,0-1,Hartlepool
Sat Aug 25 2007,Southend,1-0,0-0,Millwall
Sat Aug 25 2007,Tranmere,2-0,0-0,Brighton
