Date,Team 1,FT,HT,Team 2
Wed Apr 5 2017,HJK,5-0,?,VPS
Wed Apr 5 2017,SJK,1-1,?,Lahti
Sat Apr 8 2017,Ilves,1-1,?,Lahti
Sat Apr 8 2017,Mariehamn,5-2,?,JJK Jyvaskyla
Sat Apr 8 2017,PS Kemi,0-0,?,HIFK
Sat Apr 8 2017,VPS,1-3,?,SJK
Mon Apr 10 2017,HJK,2-0,?,KuPS
Wed Apr 12 2017,Inter Turku,6-2,?,Rovaniemi
Sat Apr 15 2017,SJK,1-2,?,Ilves
Sat Apr 15 2017,HIFK,0-0,?,JJK Jyvaskyla
Sat Apr 15 2017,Mariehamn,1-1,?,HJK
Mon Apr 17 2017,KuPS,2-1,?,Inter Turku
Mon Apr 17 2017,Rovaniemi,2-4,?,VPS
Fri Apr 21 2017,Inter Turku,1-1,?,Mariehamn
Sat Apr 22 2017,Ilves,0-2,?,Rovaniemi
Sat Apr 22 2017,PS Kemi,3-1,?,SJK
Sat Apr 22 2017,VPS,2-2,?,KuPS
Sun Apr 23 2017,JJK Jyvaskyla,1-5,?,HJK
Mon Apr 24 2017,HIFK,1-2,?,Lahti
Fri Apr 28 2017,SJK,3-3,?,HIFK
Sat Apr 29 2017,HJK,1-1,?,Inter Turku
Sat Apr 29 2017,KuPS,0-1,?,Ilves
Sat Apr 29 2017,Lahti,1-1,?,JJK Jyvaskyla
Sat Apr 29 2017,Rovaniemi,3-1,?,PS Kemi
Sun Apr 30 2017,Mariehamn,1-1,?,VPS
Sat May 6 2017,Ilves,3-0,?,Mariehamn
Sat May 6 2017,JJK Jyvaskyla,1-2,?,Inter Turku
Sat May 6 2017,Lahti,1-0,?,SJK
Sat May 6 2017,PS Kemi,1-4,?,KuPS
Sat May 6 2017,VPS,2-1,?,HJK
Sat May 6 2017,HIFK,1-0,?,Rovaniemi
Thu May 11 2017,HJK,2-0,?,Ilves
Fri May 12 2017,Inter Turku,0-1,?,VPS
Fri May 12 2017,KuPS,2-1,?,HIFK
Fri May 12 2017,Mariehamn,3-0,?,PS Kemi
Fri May 12 2017,Rovaniemi,1-0,?,Lahti
Fri May 12 2017,SJK,1-0,?,JJK Jyvaskyla
Fri May 19 2017,PS Kemi,0-1,?,HJK
Fri May 19 2017,HIFK,1-1,?,Mariehamn
Fri May 19 2017,Ilves,0-2,?,Inter Turku
Fri May 19 2017,JJK Jyvaskyla,1-4,?,VPS
Fri May 19 2017,Lahti,1-2,?,KuPS
Fri May 19 2017,SJK,3-0,?,Rovaniemi
Tue May 23 2017,HIFK,0-0,?,HJK
Tue May 23 2017,Inter Turku,1-3,?,PS Kemi
Tue May 23 2017,Mariehamn,0-2,?,Lahti
Wed May 24 2017,KuPS,1-1,?,SJK
Wed May 24 2017,Rovaniemi,2-1,?,JJK Jyvaskyla
Wed May 24 2017,VPS,0-2,?,Ilves
Sat May 27 2017,HIFK,0-2,?,Inter Turku
Sat May 27 2017,Lahti,0-0,?,HJK
Sat May 27 2017,PS Kemi,0-1,?,VPS
Sat May 27 2017,JJK Jyvaskyla,3-1,?,Ilves
Sat May 27 2017,Rovaniemi,0-1,?,KuPS
Sat May 27 2017,SJK,1-1,?,Mariehamn
Wed May 31 2017,HJK,6-0,?,SJK
Wed May 31 2017,Ilves,2-4,?,PS Kemi
Wed May 31 2017,Inter Turku,0-0,?,Lahti
Wed May 31 2017,JJK Jyvaskyla,0-0,?,KuPS
Wed May 31 2017,Mariehamn,2-1,?,Rovaniemi
Wed May 31 2017,VPS,1-1,?,HIFK
Sat Jun 3 2017,Lahti,0-0,?,VPS
Sat Jun 3 2017,PS Kemi,1-1,?,JJK Jyvaskyla
Sat Jun 3 2017,SJK,0-3,?,Inter Turku
Sun Jun 4 2017,HIFK,0-1,?,Ilves
Sun Jun 4 2017,KuPS,1-2,?,Mariehamn
Sun Jun 4 2017,Rovaniemi,1-4,?,HJK
Wed Jun 14 2017,HIFK,0-2,?,SJK
Wed Jun 14 2017,KuPS,2-2,?,VPS
Wed Jun 14 2017,PS Kemi,3-0,?,Mariehamn
Thu Jun 15 2017,HJK,4-0,?,JJK Jyvaskyla
