Date,Team 1,FT,HT,Team 2
Sat May 13 2017,Flamengo RJ,1-1,?,Atletico-MG
Sat May 13 2017,Corinthians,1-1,?,Chapecoense-SC
Sun May 14 2017,Fluminense,3-2,?,Santos
Sun May 14 2017,Avai,0-0,?,Vitoria
Sun May 14 2017,Bahia,6-2,?,Atletico-PR
Sun May 14 2017,Cruzeiro,1-0,?,Sao Paulo
Sun May 14 2017,Palmeiras,4-0,?,Vasco
Sun May 14 2017,Ponte Preta,4-0,?,Sport Recife
Sun May 14 2017,Gremio,2-0,?,Botafogo RJ
Mon May 15 2017,Coritiba,4-1,?,Atletico GO
Sat May 20 2017,Santos,1-0,?,Coritiba
Sat May 20 2017,Atletico GO,0-3,?,Flamengo RJ
Sat May 20 2017,Chapecoense-SC,1-0,?,Palmeiras
Sun May 21 2017,Vasco,2-1,?,Bahia
Sun May 21 2017,Atletico-MG,1-2,?,Fluminense
Sun May 21 2017,Atletico-PR,0-2,?,Gremio
Sun May 21 2017,Vitoria,0-1,?,Corinthians
Sun May 21 2017,Botafogo RJ,2-0,?,Ponte Preta
Sun May 21 2017,Sport Recife,1-1,?,Cruzeiro
Mon May 22 2017,Sao Paulo,2-0,?,Avai
Sat May 27 2017,Vasco,3-2,?,Fluminense
Sat May 27 2017,Sao Paulo,2-0,?,Palmeiras
Sat May 27 2017,Vitoria,0-1,?,Coritiba
Sun May 28 2017,Atletico-MG,2-2,?,Ponte Preta
Sun May 28 2017,Atletico GO,0-1,?,Corinthians
Sun May 28 2017,Atletico-PR,1-1,?,Flamengo RJ
Sun May 28 2017,Santos,0-1,?,Cruzeiro
Sun May 28 2017,Sport Recife,4-3,?,Gremio
Sun May 28 2017,Botafogo RJ,1-0,?,Bahia
Mon May 29 2017,Chapecoense-SC,2-0,?,Avai
Sat Jun 3 2017,Coritiba,1-0,?,Atletico-PR
Sat Jun 3 2017,Fluminense,2-1,?,Vitoria
Sat Jun 3 2017,Corinthians,2-0,?,Santos
