Date,Team 1,FT,HT,Team 2
Sat Aug 9 2003,Barnsley,1-0,0-0,Colchester
Sat Aug 9 2003,Bristol City,5-0,2-0,Notts County
Sat Aug 9 2003,Luton,3-1,0-1,Rushden & D
Sat Aug 9 2003,Oldham,1-3,0-2,Brighton
Sat Aug 9 2003,Peterboro,3-4,2-1,Hartlepool
Sat Aug 9 2003,Plymouth,2-2,1-1,Grimsby
Sat Aug 9 2003,Port Vale,2-1,0-0,Bournemouth
Sat Aug 9 2003,QPR,5-0,2-0,Blackpool
Sat Aug 9 2003,Swindon,2-3,1-3,Sheffield Weds
Sat Aug 9 2003,Tranmere,4-1,2-0,Brentford
Sat Aug 9 2003,Wrexham,0-0,0-0,Chesterfield
Sat Aug 9 2003,Wycombe,1-0,1-0,Stockport
Fri Aug 15 2003,Colchester,0-1,0-0,Swindon
Sat Aug 16 2003,Blackpool,3-2,2-2,Wycombe
Sat Aug 16 2003,Bournemouth,2-2,2-1,Barnsley
Sat Aug 16 2003,Brentford,0-3,0-1,Peterboro
Sat Aug 16 2003,Chesterfield,1-1,1-1,Bristol City
Sat Aug 16 2003,Grimsby,1-2,1-0,Port Vale
Sat Aug 16 2003,Hartlepool,0-0,0-0,Tranmere
Sat Aug 16 2003,Notts County,0-1,0-0,Wrexham
Sat Aug 16 2003,Rushden & D,2-1,0-0,Plymouth
Sat Aug 16 2003,Sheffield Weds,2-2,1-1,Oldham
Sat Aug 16 2003,Stockport,1-2,0-1,Luton
Mon Aug 18 2003,Brighton,2-1,1-1,QPR
Sat Aug 23 2003,Barnsley,1-0,0-0,Brighton
Sat Aug 23 2003,Bristol City,1-1,0-0,Hartlepool
Sat Aug 23 2003,Luton,1-2,0-1,Grimsby
Sat Aug 23 2003,Oldham,2-3,1-0,Blackpool
Sat Aug 23 2003,Peterboro,0-1,0-1,Sheffield Weds
Sat Aug 23 2003,Plymouth,3-1,3-1,Stockport
Sat Aug 23 2003,Port Vale,4-3,1-2,Colchester
Sat Aug 23 2003,QPR,1-0,0-0,Bournemouth
Sat Aug 23 2003,Swindon,4-0,2-0,Notts County
Sat Aug 23 2003,Tranmere,1-2,0-2,Rushden & D
Sat Aug 23 2003,Wrexham,1-0,1-0,Brentford
Sat Aug 23 2003,Wycombe,3-3,2-2,Chesterfield
Mon Aug 25 2003,Blackpool,0-2,0-1,Barnsley
Mon Aug 25 2003,Bournemouth,2-2,1-2,Swindon
Mon Aug 25 2003,Brentford,2-1,1-1,Oldham
Mon Aug 25 2003,Brighton,2-0,1-0,Luton
Mon Aug 25 2003,Chesterfield,1-1,0-0,Plymouth
Mon Aug 25 2003,Grimsby,3-1,1-0,Wycombe
Mon Aug 25 2003,Hartlepool,2-0,1-0,Port Vale
Mon Aug 25 2003,Notts County,0-1,0-1,Peterboro
Mon Aug 25 2003,Rushden & D,3-3,1-2,QPR
Mon Aug 25 2003,Sheffield Weds,2-3,1-1,Wrexham
Mon Aug 25 2003,Stockport,1-1,0-1,Tranmere
Tue Aug 26 2003,Colchester,2-1,0-0,Bristol City
Sat Aug 30 2003,Barnsley,1-1,0-0,Notts County
Sat Aug 30 2003,Bristol City,1-0,0-0,Grimsby
Sat Aug 30 2003,Luton,3-2,3-1,Hartlepool
Sat Aug 30 2003,Oldham,3-2,1-1,Rushden & D
Sat Aug 30 2003,Peterboro,1-2,0-1,Stockport
Sat Aug 30 2003,Plymouth,3-3,1-2,Brighton
Sat Aug 30 2003,Port Vale,1-0,0-0,Brentford
Sat Aug 30 2003,QPR,3-0,1-0,Chesterfield
Sat Aug 30 2003,Swindon,2-2,2-2,Blackpool
Sat Aug 30 2003,Tranmere,1-1,1-1,Colchester
Sat Aug 30 2003,Wrexham,0-1,0-1,Bournemouth
Mon Sep 1 2003,Wycombe,1-2,1-2,Sheffield Weds
Sat Sep 6 2003,Bournemouth,0-0,0-0,Bristol City
Sat Sep 6 2003,Brentford,1-3,1-1,Plymouth
Sat Sep 6 2003,Brighton,2-2,1-1,Swindon
Sat Sep 6 2003,Chesterfield,0-2,0-1,Barnsley
Sat Sep 6 2003,Colchester,2-2,1-0,QPR
Sat Sep 6 2003,Grimsby,1-1,0-1,Peterboro
Sat Sep 6 2003,Hartlepool,0-0,0-0,Oldham
Sat Sep 6 2003,Notts County,1-1,0-1,Luton
Sat Sep 6 2003,Rushden & D,2-0,1-0,Wycombe
Sat Sep 6 2003,Sheffield Weds,2-0,0-0,Tranmere
Sat Sep 6 2003,Stockport,2-2,2-0,Port Vale
Fri Sep 12 2003,Hartlepool,8-1,4-0,Grimsby
Sat Sep 13 2003,Blackpool,1-2,1-0,Bournemouth
Sat Sep 13 2003,Chesterfield,0-1,0-0,Notts County
Sat Sep 13 2003,Colchester,1-0,0-0,Brighton
Sat Sep 13 2003,Oldham,1-1,0-1,Bristol City
Sat Sep 13 2003,Plymouth,2-1,0-0,Luton
Sat Sep 13 2003,Port Vale,3-1,1-1,Barnsley
Sat Sep 13 2003,QPR,0-0,0-0,Wycombe
Sat Sep 13 2003,Rushden & D,0-1,0-1,Brentford
Sat Sep 13 2003,Sheffield Weds,2-2,2-0,Stockport
Sat Sep 13 2003,Swindon,1-0,0-0,Wrexham
Sat Sep 13 2003,Tranmere,0-0,0-0,Peterboro
Tue Sep 16 2003,Barnsley,1-1,0-0,Oldham
Tue Sep 16 2003,Bournemouth,1-0,0-0,Sheffield Weds
Tue Sep 16 2003,Brentford,0-0,0-0,Blackpool
Tue Sep 16 2003,Brighton,1-0,1-0,Chesterfield
Tue Sep 16 2003,Bristol City,2-0,1-0,Tranmere
Tue Sep 16 2003,Grimsby,1-2,1-0,Swindon
Tue Sep 16 2003,Luton,2-0,1-0,Port Vale
Tue Sep 16 2003,Notts County,1-3,1-1,Rushden & D
Tue Sep 16 2003,Peterboro,2-2,1-1,Plymouth
Tue Sep 16 2003,Stockport,1-2,1-1,Hartlepool
Tue Sep 16 2003,Wrexham,0-2,0-1,QPR
Tue Sep 16 2003,Wycombe,1-2,0-2,Colchester
Sat Sep 20 2003,Barnsley,1-1,0-1,Swindon
Sat Sep 20 2003,Bournemouth,2-1,0-1,Rushden & D
