Date,Team 1,FT,HT,Team 2
Sun Apr 1 2018,Hacken,1-0,?,Kalmar
Sun Apr 1 2018,Hammarby,3-1,?,Sirius
Sun Apr 1 2018,Ostersunds,0-1,?,Djurgarden
Sun Apr 1 2018,Trelleborgs,1-3,?,Goteborg
Mon Apr 2 2018,AIK,2-0,?,Dalkurd
Mon Apr 2 2018,Norrkoping,2-1,?,Brommapojkarna
Mon Apr 2 2018,Elfsborg,1-2,?,Malmo FF
Mon Apr 2 2018,Sundsvall,0-0,?,Orebro
Sat Apr 7 2018,Orebro,1-1,?,Norrkoping
Sun Apr 8 2018,Djurgarden,1-1,?,Trelleborgs
Sun Apr 8 2018,Kalmar,1-0,?,Elfsborg
Sun Apr 8 2018,Dalkurd,3-0,?,Ostersunds
Mon Apr 9 2018,Brommapojkarna,2-0,?,Hacken
Mon Apr 9 2018,Malmo FF,1-1,?,AIK
Tue Apr 10 2018,Goteborg,1-2,?,Hammarby
Fri Apr 13 2018,Sundsvall,2-2,?,Malmo FF
Fri Apr 13 2018,Trelleborgs,1-2,?,Orebro
Sat Apr 14 2018,Elfsborg,0-1,?,Sirius
Sat Apr 14 2018,Hacken,3-0,?,Dalkurd
Sun Apr 15 2018,AIK,2-0,?,Djurgarden
Sun Apr 15 2018,Norrkoping,3-1,?,Kalmar
Sun Apr 15 2018,Ostersunds,2-1,?,Goteborg
Mon Apr 16 2018,Hammarby,4-0,?,Brommapojkarna
Tue Apr 17 2018,Sundsvall,1-0,?,Trelleborgs
Wed Apr 18 2018,Djurgarden,3-0,?,Malmo FF
Wed Apr 18 2018,Kalmar,1-1,?,Ostersunds
Wed Apr 18 2018,Orebro,1-1,?,AIK
Wed Apr 18 2018,Sirius,0-0,?,Hacken
Thu Apr 19 2018,Brommapojkarna,0-2,?,Elfsborg
Thu Apr 19 2018,Goteborg,1-0,?,Dalkurd
Thu Apr 19 2018,Hammarby,2-1,?,Norrkoping
Sat Apr 21 2018,Ostersunds,0-2,?,Orebro
Sun Apr 22 2018,Dalkurd,2-2,?,Sundsvall
Sun Apr 22 2018,Hacken,2-2,?,Hammarby
Sun Apr 22 2018,AIK,2-0,?,Goteborg
Sun Apr 22 2018,Trelleborgs,0-1,?,Kalmar
